relay_timestamp,packet_num,source_ip,source_port,dest_ip,dest_port,bytes,x,y,z,yaw,unity_timestamp,unity_x,unity_z,scale_factor
2026-03-08 20:57:58.675,71,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.194042205810547","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.817,72,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.304454803466797","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.995,73,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.414963722229004","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.018,74,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.525315284729004","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.171,75,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.636336326599121","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.245,76,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.747503280639649","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.354,77,10.30.138.30,45520,10.30.135.228,8888,207,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.85935115814209","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.519,78,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.969561576843262","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.574,79,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":13.081040382385254","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.673,80,10.30.138.30,45520,10.30.135.228,8888,207,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":13.19043254852295","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.865,81,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":13.302189826965332","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:59.898,82,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":13.413104057312012","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:58:00.043,83,10.30.138.30,45520,10.30.135.228,8888,207,"{""x"":0.42495328187942507","""y"":-0.2622031271457672","""z"":0.10899219661951065","""yaw"":90.0","""timestamp"":13.524405479431153","""unity_x"":1.2761359214782715","""unity_z"":0.3273038864135742","""scale_factor"":0.3330000042915344}"
2026-03-08 20:58:00.220,84,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.38111254572868349","""y"":-0.2622031271457672","""z"":0.18911027908325196","""yaw"":90.0","""timestamp"":13.634981155395508","""unity_x"":1.144482135772705","""unity_z"":0.5678987503051758","""scale_factor"":0.3330000042915344}"
2026-03-08 20:58:00.242,85,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.34380194544792178","""y"":-0.2622031271457672","""z"":0.2740342319011688","""yaw"":90.0","""timestamp"":13.747908592224121","""unity_x"":1.0324382781982422","""unity_z"":0.8229255676269531","""scale_factor"":0.3330000042915344}"
